attack_ID,threat_actors
T1055,Cobalt Group
T1055,Honeybee
T1055,Lazarus Group
T1055,Putter Panda
T1055,Threat Group-3390
T1055,PLATINUM
T1055,APT37
T1055,Turla
T1055,Gorgon Group
T1055,Tropic Trooper
T1218,Cobalt Group
T1218,Rancor
T1038,Threat Group-3390
T1038,menuPass
T1050,Cobalt Group
T1050,Lazarus Group
T1050,Threat Group-3390
T1050,FIN7
T1050,APT3
T1050,APT32
T1050,Ke3chang
T1050,Carbanak
T1010,Lazarus Group
T1032,Cobalt Group
T1032,Stealth Falcon
T1032,FIN6
T1032,Lazarus Group
T1032,BRONZE BUTLER
T1032,FIN8
T1032,OilRig
T1032,APT33
T1032,Tropic Trooper
T1032,Taidoor
T1182,Honeybee
T1004,Turla
T1004,Tropic Trooper
T1009,Moafee
T1009,BRONZE BUTLER
T1009,Leviathan
T1009,APT32
T1009,Patchwork
T1076,TEMP.Veles
T1076,Cobalt Group
T1076,FIN6
T1076,Lazarus Group
T1076,Leviathan
T1076,Stolen Pencil
T1076,APT3
T1076,FIN8
T1076,Dragonfly 2.0
T1076,APT39
T1076,menuPass
T1076,APT1
T1076,Patchwork
T1076,OilRig
T1076,Axiom
T1076,FIN10
T1021,TEMP.Veles
T1021,Leviathan
T1021,GCMAN
T1021,menuPass
T1021,APT39
T1021,OilRig
T1107,TEMP.Veles
T1107,APT18
T1107,Cobalt Group
T1107,Honeybee
T1107,Lazarus Group
T1107,BRONZE BUTLER
T1107,Threat Group-3390
T1107,APT3
T1107,FIN8
T1107,APT32
T1107,Dragonfly 2.0
T1107,menuPass
T1107,Magic Hound
T1107,APT28
T1107,OilRig
T1107,FIN5
T1107,Patchwork
T1107,FIN10
T1107,APT38
T1107,Group5
T1112,Honeybee
T1112,Threat Group-3390
T1112,FIN8
T1112,APT32
T1112,Dragonfly 2.0
T1112,Patchwork
T1112,Gorgon Group
T1112,APT19
T1112,APT38
T1183,TEMP.Veles
T1085,MuddyWater
T1085,APT29
T1085,APT3
T1085,CopyKittens
T1085,APT28
T1085,APT19
T1085,Carbanak
T1031,APT19
T1031,Honeybee
T1031,APT32
T1092,APT28
T1222,APT32
T1179,PLATINUM
T1117,Cobalt Group
T1117,Leviathan
T1117,Deep Panda
T1117,APT32
T1117,APT19
T1108,Cobalt Group
T1108,Stolen Pencil
T1108,Threat Group-3390
T1108,APT3
T1108,Leafminer
T1108,OilRig
T1108,FIN5
T1193,Leviathan
T1193,Elderwood
T1193,Dragonfly 2.0
T1193,APT39
T1193,APT37
T1193,OilRig
T1193,FIN4
T1193,Turla
T1193,Cobalt Group
T1193,MuddyWater
T1193,BRONZE BUTLER
T1193,FIN7
T1193,menuPass
T1193,Magic Hound
T1193,Rancor
T1193,APT19
T1193,Lazarus Group
T1193,PLATINUM
T1193,APT32
T1193,DarkHydrus
T1193,APT28
T1193,Patchwork
T1193,Gorgon Group
T1193,Tropic Trooper
T1193,Darkhotel
T1193,APT29
T1193,TA459
T1193,FIN8
T1193,Gallmaker
T1125,FIN7
T1045,APT29
T1045,APT3
T1045,Night Dragon
T1045,Dark Caracal
T1045,APT32
T1045,Elderwood
T1045,APT39
T1045,Patchwork
T1045,APT38
T1045,Group5
T1016,Stealth Falcon
T1016,Darkhotel
T1016,MuddyWater
T1016,Lazarus Group
T1016,admin@338
T1016,Naikon
T1016,Threat Group-3390
T1016,APT3
T1016,APT32
T1016,Dragonfly 2.0
T1016,APT39
T1016,menuPass
T1016,APT1
T1016,Magic Hound
T1016,Turla
T1016,Ke3chang
T1016,OilRig
T1016,APT19
T1087,FIN6
T1087,admin@338
T1087,BRONZE BUTLER
T1087,Threat Group-3390
T1087,APT3
T1087,APT32
T1087,menuPass
T1087,Dragonfly 2.0
T1087,APT1
T1087,OilRig
T1087,Ke3chang
T1087,Poseidon Group
T1090,MuddyWater
T1090,Lazarus Group
T1090,APT3
T1090,Strider
T1090,menuPass
T1090,APT39
T1090,APT28
T1059,APT18
T1059,Sowbug
T1059,Leviathan
T1059,Dragonfly 2.0
T1059,APT37
T1059,OilRig
T1059,Ke3chang
T1059,Cobalt Group
T1059,MuddyWater
T1059,BRONZE BUTLER
T1059,Threat Group-3390
T1059,FIN7
T1059,menuPass
T1059,Magic Hound
T1059,Rancor
T1059,Honeybee
T1059,Suckfly
T1059,Lazarus Group
T1059,admin@338
T1059,APT3
T1059,APT32
T1059,APT28
T1059,Patchwork
T1059,Gorgon Group
T1059,APT38
T1059,Threat Group-1314
T1059,FIN8
T1059,APT1
T1175,MuddyWater
T1020,Honeybee
T1070,APT29
T1070,FIN8
T1070,APT32
T1070,Dragonfly 2.0
T1070,APT28
T1070,FIN5
T1070,APT38
T1083,APT18
T1083,Sowbug
T1083,Honeybee
T1083,Lazarus Group
T1083,admin@338
T1083,MuddyWater
T1083,BRONZE BUTLER
T1083,APT3
T1083,Dark Caracal
T1083,APT32
T1083,Dragonfly 2.0
T1083,Magic Hound
T1083,Leafminer
T1083,Patchwork
T1083,APT28
T1083,Ke3chang
T1083,Turla
T1083,Dust Storm
T1138,FIN7
T1191,Cobalt Group
T1191,MuddyWater
T1188,APT29
T1188,FIN4
T1074,TEMP.Veles
T1074,Honeybee
T1074,FIN6
T1074,Lazarus Group
T1074,Threat Group-3390
T1074,Leviathan
T1074,APT3
T1074,Night Dragon
T1074,FIN8
T1074,Dragonfly 2.0
T1074,menuPass
T1074,Patchwork
T1074,APT28
T1074,FIN5
T1049,admin@338
T1049,Threat Group-3390
T1049,APT3
T1049,APT32
T1049,APT1
T1049,menuPass
T1049,Turla
T1049,Poseidon Group
T1049,OilRig
T1049,Ke3chang
T1064,Stealth Falcon
T1064,Leviathan
T1064,Dark Caracal
T1064,Dragonfly 2.0
T1064,APT39
T1064,APT37
T1064,OilRig
T1064,FIN4
T1064,FIN5
T1064,Ke3chang
T1064,Gamaredon Group
T1064,Cobalt Group
T1064,MuddyWater
T1064,BRONZE BUTLER
T1064,FIN7
T1064,Deep Panda
T1064,menuPass
T1064,Magic Hound
T1064,Rancor
T1064,APT19
T1064,Honeybee
T1064,FIN6
T1064,Lazarus Group
T1064,APT3
T1064,APT32
T1064,Leafminer
T1064,APT28
T1064,Patchwork
T1064,Gorgon Group
T1064,Darkhotel
T1064,APT29
T1064,TA459
T1064,FIN8
T1064,APT1
T1064,FIN10
T1064,Gallmaker
T1497,FIN7
T1102,RTM
T1102,FIN6
T1102,BRONZE BUTLER
T1102,Leviathan
T1102,FIN7
T1102,Magic Hound
T1102,APT37
T1102,Patchwork
T1102,Turla
T1102,Carbanak
T1104,APT3
T1480,APT33
T1480,Equation
T1204,Leviathan
T1204,Dark Caracal
T1204,Elderwood
T1204,Dragonfly 2.0
T1204,APT39
T1204,APT37
T1204,OilRig
T1204,FIN4
T1204,Turla
T1204,Cobalt Group
T1204,MuddyWater
T1204,BRONZE BUTLER
T1204,FIN7
T1204,Night Dragon
T1204,menuPass
T1204,Magic Hound
T1204,Rancor
T1204,APT19
T1204,Lazarus Group
T1204,PLATINUM
T1204,APT32
T1204,DarkHydrus
T1204,Patchwork
T1204,APT28
T1204,Gorgon Group
T1204,Darkhotel
T1204,TA459
T1204,APT29
T1204,FIN8
T1204,APT33
T1204,Gallmaker
T1057,Stealth Falcon
T1057,Darkhotel
T1057,Honeybee
T1057,Lazarus Group
T1057,Winnti Group
T1057,MuddyWater
T1057,APT3
T1057,Deep Panda
T1057,APT1
T1057,Magic Hound
T1057,APT37
T1057,APT28
T1057,Turla
T1057,Ke3chang
T1057,Tropic Trooper
T1057,OilRig
